Simulation,Year,FracSim,IrrigationAppliedMM,IrrigationAppliedFT,Yield,FracTotaltIrr,PrecipPlusIrrigationMM,PrecipPlusIrrigationFT,FracIrrPlusPrecip,FracYield,LeasedWaterMM,LeasedWaterFT,crop
Continuous deficit after flowering (CDAF),2018,0,257.42,0.84,5229.15,0.48,272.37,0.89,0.5,0.42,273.9,0.9,corn
Continuous deficit after flowering (CDAF),2015,20,261.27,0.86,6215.54,0.54,276.12,0.91,0.56,0.51,220,0.72,corn
Continuous deficit after flowering (CDAF),2014,10,278.82,0.91,6168.36,0.58,295.34,0.97,0.59,0.51,202.5,0.66,corn
Continuous deficit after flowering (CDAF),2016,30,281.2,0.92,9100.11,0.62,301.16,0.99,0.63,0.69,175,0.57,corn
Continuous deficit after flowering (CDAF),2013,30,281.28,0.92,7763.6,0.62,293.85,0.96,0.63,0.65,175,0.57,corn
Continuous deficit after flowering (CDAF),2017,50,281.32,0.92,9268.82,0.69,301.85,0.99,0.71,0.79,125,0.41,corn
Continuous deficit after flowering (CDAF),2018,10,283.82,0.93,5648.52,0.53,298.77,0.98,0.55,0.45,247.5,0.81,corn
Continuous deficit after flowering (CDAF),2015,30,288.77,0.95,7379.87,0.6,303.62,1,0.61,0.61,192.5,0.63,corn
Continuous deficit after flowering (CDAF),2014,20,301.32,0.99,7135.72,0.63,317.84,1.04,0.64,0.59,180,0.59,corn
Continuous deficit after flowering (CDAF),2016,40,306.2,1,10050.67,0.67,326.16,1.07,0.68,0.76,150,0.49,corn
Continuous deficit after flowering (CDAF),2013,40,306.28,1,8703.8,0.67,318.85,1.05,0.68,0.73,150,0.49,corn
Continuous deficit after flowering (CDAF),2017,60,306.32,1,10182.3,0.75,326.85,1.07,0.77,0.87,100,0.33,corn
Continuous deficit after flowering (CDAF),2018,20,311.32,1.02,6765.79,0.59,326.27,1.07,0.6,0.54,220,0.72,corn
Continuous deficit after flowering (CDAF),2015,40,316.27,1.04,8435.13,0.66,331.12,1.09,0.67,0.69,165,0.54,corn
Continuous deficit after flowering (CDAF),2014,30,323.82,1.06,8130.96,0.67,340.34,1.12,0.68,0.67,157.5,0.52,corn
Continuous deficit after flowering (CDAF),2016,50,331.2,1.09,10920.85,0.73,351.16,1.15,0.74,0.82,125,0.41,corn
Continuous deficit after flowering (CDAF),2013,50,331.28,1.09,9610.2,0.73,343.85,1.13,0.73,0.8,125,0.41,corn
Continuous deficit after flowering (CDAF),2017,70,331.32,1.09,11118.21,0.82,351.85,1.15,0.82,0.95,75,0.25,corn
Continuous deficit after flowering (CDAF),2018,30,338.82,1.11,7904.82,0.64,353.77,1.16,0.65,0.63,192.5,0.63,corn
Continuous deficit after flowering (CDAF),2015,50,343.77,1.13,9404.43,0.71,358.62,1.18,0.72,0.77,137.5,0.45,corn
Continuous deficit after flowering (CDAF),2014,40,346.32,1.14,9132.06,0.72,362.84,1.19,0.73,0.76,135,0.44,corn
Continuous deficit after flowering (CDAF),2016,60,356.2,1.17,11765,0.78,376.16,1.23,0.79,0.89,100,0.33,corn
Continuous deficit after flowering (CDAF),2013,60,356.28,1.17,10570.26,0.78,368.85,1.21,0.79,0.88,100,0.33,corn
Continuous deficit after flowering (CDAF),2017,80,356.32,1.17,11691.29,0.88,376.85,1.24,0.88,1,50,0.16,corn
Continuous deficit after flowering (CDAF),2018,40,366.32,1.2,8994.28,0.69,381.27,1.25,0.7,0.72,165,0.54,corn
Continuous deficit after flowering (CDAF),2014,50,368.82,1.21,10060.49,0.77,385.34,1.26,0.77,0.83,112.5,0.37,corn
Continuous deficit after flowering (CDAF),2015,60,371.27,1.22,10374.73,0.77,386.12,1.27,0.78,0.85,110,0.36,corn
Continuous deficit after flowering (CDAF),2016,70,381.2,1.25,12580.81,0.84,401.16,1.32,0.84,0.95,75,0.25,corn
Continuous deficit after flowering (CDAF),2013,70,381.28,1.25,11540.63,0.84,393.85,1.29,0.84,0.96,75,0.25,corn
Continuous deficit after flowering (CDAF),2017,90,381.32,1.25,11704.25,0.94,401.85,1.32,0.94,1,25,0.08,corn
Continuous deficit after flowering (CDAF),2014,60,391.32,1.28,10922.1,0.81,407.84,1.34,0.82,0.91,90,0.3,corn
Continuous deficit after flowering (CDAF),2018,50,393.82,1.29,9950.68,0.74,408.77,1.34,0.75,0.8,137.5,0.45,corn
Continuous deficit after flowering (CDAF),2015,70,398.77,1.31,11218.51,0.83,413.62,1.36,0.83,0.92,82.5,0.27,corn
Continuous deficit after flowering (CDAF),2016,80,406.2,1.33,13112.39,0.89,426.16,1.4,0.89,0.99,50,0.16,corn
Continuous deficit after flowering (CDAF),2013,80,406.28,1.33,11996.89,0.89,418.85,1.37,0.89,1,50,0.16,corn
Continuous deficit after flowering (CDAF),2017,100,406.32,1.33,11704.25,1,426.85,1.4,1,1,0,0,corn
Continuous deficit after flowering (CDAF),2014,70,413.82,1.36,11693.82,0.86,430.34,1.41,0.86,0.97,67.5,0.22,corn
Continuous deficit after flowering (CDAF),2018,60,421.32,1.38,10859.26,0.79,436.27,1.43,0.8,0.87,110,0.36,corn
Continuous deficit after flowering (CDAF),2015,80,426.27,1.4,11920.81,0.89,441.12,1.45,0.89,0.98,55,0.18,corn
Continuous deficit after flowering (CDAF),2016,90,431.2,1.41,13231.99,0.95,451.16,1.48,0.95,1,25,0.08,corn
Continuous deficit after flowering (CDAF),2013,90,431.28,1.41,11998.09,0.95,443.85,1.46,0.95,1,25,0.08,corn
Continuous deficit after flowering (CDAF),2014,80,436.32,1.43,12045.24,0.91,452.84,1.49,0.91,1,45,0.15,corn
Continuous deficit after flowering (CDAF),2018,70,448.82,1.47,11763.33,0.84,463.77,1.52,0.85,0.94,82.5,0.27,corn
Continuous deficit after flowering (CDAF),2015,90,453.77,1.49,12113.1,0.94,468.62,1.54,0.94,1,27.5,0.09,corn
Continuous deficit after flowering (CDAF),2016,100,456.2,1.5,13241.38,1,476.16,1.56,1,1,0,0,corn
Continuous deficit after flowering (CDAF),2013,100,456.28,1.5,11998.09,1,468.85,1.54,1,1,0,0,corn
Continuous deficit after flowering (CDAF),2014,90,458.82,1.51,12050.34,0.95,475.34,1.56,0.95,1,22.5,0.07,corn
Continuous deficit after flowering (CDAF),2018,80,476.32,1.56,12301.93,0.9,491.27,1.61,0.9,0.99,55,0.18,corn
Continuous deficit after flowering (CDAF),2015,100,481.27,1.58,12166.71,1,496.12,1.63,1,1,0,0,corn
Continuous deficit after flowering (CDAF),2014,100,481.32,1.58,12050.34,1,497.84,1.63,1,1,0,0,corn
Continuous deficit after flowering (CDAF),2018,90,503.82,1.65,12437.94,0.95,518.77,1.7,0.95,1,27.5,0.09,corn
Continuous deficit after flowering (CDAF),2018,100,531.32,1.74,12461.91,1,546.27,1.79,1,1,0,0,corn
Envelope,2017,0,26.6,0.09,1431.81,0.07,47.13,0.15,0.11,0.12,379.72,1.25,corn
Envelope,2013,0,51.7,0.17,2116.53,0.11,64.27,0.21,0.14,0.18,404.58,1.33,corn
Envelope,2016,0,51.7,0.17,2945.04,0.11,71.66,0.24,0.15,0.22,404.5,1.33,corn
Envelope,2014,0,51.8,0.17,598.92,0.11,68.32,0.22,0.14,0.05,429.52,1.41,corn
Envelope,2015,0,51.8,0.17,2093.1,0.11,66.65,0.22,0.13,0.17,429.47,1.41,corn
Envelope,2018,0,52,0.17,1800.05,0.1,66.95,0.22,0.12,0.14,479.32,1.57,corn
Envelope,2017,10,62.6,0.21,1435.31,0.15,83.13,0.27,0.19,0.12,343.72,1.13,corn
Envelope,2013,10,90.1,0.3,2146.88,0.2,102.67,0.34,0.22,0.18,366.18,1.2,corn
Envelope,2016,10,90.1,0.3,3060.61,0.2,110.06,0.36,0.23,0.23,366.1,1.2,corn
Envelope,2014,10,92.6,0.3,603.6,0.19,109.12,0.36,0.22,0.05,388.72,1.28,corn
Envelope,2015,10,92.6,0.3,2094.59,0.19,107.45,0.35,0.22,0.17,388.67,1.28,corn
Envelope,2018,10,97.6,0.32,1803.32,0.18,112.55,0.37,0.21,0.14,433.72,1.42,corn
Envelope,2017,20,101.26,0.33,2246.58,0.25,121.79,0.4,0.29,0.19,305.06,1,corn
Envelope,2016,20,131.24,0.43,3436.92,0.29,151.2,0.5,0.32,0.26,324.96,1.07,corn
Envelope,2013,20,131.26,0.43,2245.64,0.29,143.83,0.47,0.31,0.19,325.02,1.07,corn
Envelope,2015,20,136.25,0.45,2115.77,0.28,151.1,0.5,0.3,0.17,345.02,1.13,corn
Envelope,2014,20,136.26,0.45,622.33,0.28,152.78,0.5,0.31,0.05,345.06,1.13,corn
Envelope,2017,30,139.4,0.46,3670.51,0.34,159.93,0.52,0.37,0.31,266.93,0.88,corn
Envelope,2018,20,146.26,0.48,1834.93,0.28,161.21,0.53,0.3,0.15,385.06,1.26,corn
Envelope,2017,0,157.32,0.52,4735.41,0.39,177.85,0.58,0.42,0.4,249,0.82,corn
Envelope,2017,10,181.32,0.59,5145.48,0.45,201.85,0.66,0.47,0.44,225,0.74,corn
Envelope,2017,20,206.32,0.68,6173.61,0.51,226.85,0.74,0.53,0.53,200,0.66,corn
Envelope,2016,0,207.2,0.68,6547.27,0.45,227.16,0.75,0.48,0.49,249,0.82,corn
Envelope,2013,0,207.28,0.68,5372.31,0.45,219.85,0.72,0.47,0.45,249,0.82,corn
Envelope,2015,0,207.37,0.68,4868.52,0.43,222.22,0.73,0.45,0.4,273.9,0.9,corn
Envelope,2016,10,231.2,0.76,6984.97,0.51,251.16,0.82,0.53,0.53,225,0.74,corn
Envelope,2013,10,231.28,0.76,5836.38,0.51,243.85,0.8,0.52,0.49,225,0.74,corn
Envelope,2017,30,231.32,0.76,7247.61,0.57,251.85,0.83,0.59,0.62,175,0.57,corn
Envelope,2015,10,233.77,0.77,5239.65,0.49,248.62,0.82,0.5,0.43,247.5,0.81,corn
Envelope,2016,20,256.2,0.84,8009.29,0.56,276.16,0.91,0.58,0.6,200,0.66,corn
Envelope,2013,20,256.28,0.84,6802.22,0.56,268.85,0.88,0.57,0.57,200,0.66,corn
Envelope,2017,40,256.32,0.84,8221.49,0.63,276.85,0.91,0.65,0.7,150,0.49,corn
Envelope,2014,0,257.22,0.84,5704.77,0.53,273.74,0.9,0.55,0.47,224.1,0.74,corn
Envelope,2018,0,257.42,0.84,5229.15,0.48,272.37,0.89,0.5,0.42,273.9,0.9,corn
Envelope,2015,20,261.27,0.86,6215.54,0.54,276.12,0.91,0.56,0.51,220,0.72,corn
Envelope,2014,10,278.82,0.91,6168.36,0.58,295.34,0.97,0.59,0.51,202.5,0.66,corn
Envelope,2016,30,281.2,0.92,9100.11,0.62,301.16,0.99,0.63,0.69,175,0.57,corn
Envelope,2013,30,281.28,0.92,7763.6,0.62,293.85,0.96,0.63,0.65,175,0.57,corn
Envelope,2017,50,281.32,0.92,9268.82,0.69,301.85,0.99,0.71,0.79,125,0.41,corn
Envelope,2018,10,283.82,0.93,5648.52,0.53,298.77,0.98,0.55,0.45,247.5,0.81,corn
Envelope,2015,30,288.77,0.95,7379.87,0.6,303.62,1,0.61,0.61,192.5,0.63,corn
Envelope,2014,20,301.32,0.99,7135.72,0.63,317.84,1.04,0.64,0.59,180,0.59,corn
Envelope,2016,40,306.2,1,10050.67,0.67,326.16,1.07,0.68,0.76,150,0.49,corn
Envelope,2013,40,306.28,1,8703.8,0.67,318.85,1.05,0.68,0.73,150,0.49,corn
Envelope,2017,60,306.32,1,10182.3,0.75,326.85,1.07,0.77,0.87,100,0.33,corn
Envelope,2018,20,311.32,1.02,6765.79,0.59,326.27,1.07,0.6,0.54,220,0.72,corn
Envelope,2015,40,316.27,1.04,8435.13,0.66,331.12,1.09,0.67,0.69,165,0.54,corn
Envelope,2014,30,323.82,1.06,8130.96,0.67,340.34,1.12,0.68,0.67,157.5,0.52,corn
Envelope,2016,50,331.2,1.09,10920.85,0.73,351.16,1.15,0.74,0.82,125,0.41,corn
Envelope,2013,50,331.28,1.09,9610.2,0.73,343.85,1.13,0.73,0.8,125,0.41,corn
Envelope,2017,70,331.32,1.09,11118.21,0.82,351.85,1.15,0.82,0.95,75,0.25,corn
Envelope,2018,30,338.82,1.11,7904.82,0.64,353.77,1.16,0.65,0.63,192.5,0.63,corn
Envelope,2015,50,343.77,1.13,9404.43,0.71,358.62,1.18,0.72,0.77,137.5,0.45,corn
Envelope,2014,40,346.32,1.14,9132.06,0.72,362.84,1.19,0.73,0.76,135,0.44,corn
Envelope,2016,60,356.2,1.17,11765,0.78,376.16,1.23,0.79,0.89,100,0.33,corn
Envelope,2013,60,356.28,1.17,10570.26,0.78,368.85,1.21,0.79,0.88,100,0.33,corn
Envelope,2017,80,356.32,1.17,11691.29,0.88,376.85,1.24,0.88,1,50,0.16,corn
Envelope,2018,40,366.32,1.2,8994.28,0.69,381.27,1.25,0.7,0.72,165,0.54,corn
Envelope,2014,50,368.82,1.21,10060.49,0.77,385.34,1.26,0.77,0.83,112.5,0.37,corn
Envelope,2015,60,371.27,1.22,10374.73,0.77,386.12,1.27,0.78,0.85,110,0.36,corn
Envelope,2016,70,381.2,1.25,12580.81,0.84,401.16,1.32,0.84,0.95,75,0.25,corn
Envelope,2013,70,381.28,1.25,11540.63,0.84,393.85,1.29,0.84,0.96,75,0.25,corn
Envelope,2017,90,381.32,1.25,11704.25,0.94,401.85,1.32,0.94,1,25,0.08,corn
Envelope,2014,60,391.32,1.28,10922.1,0.81,407.84,1.34,0.82,0.91,90,0.3,corn
Envelope,2018,50,393.82,1.29,9950.68,0.74,408.77,1.34,0.75,0.8,137.5,0.45,corn
Envelope,2015,70,398.77,1.31,11218.51,0.83,413.62,1.36,0.83,0.92,82.5,0.27,corn
Envelope,2016,80,406.2,1.33,13112.39,0.89,426.16,1.4,0.89,0.99,50,0.16,corn
Envelope,2013,80,406.28,1.33,11996.89,0.89,418.85,1.37,0.89,1,50,0.16,corn
Envelope,2017,100,406.32,1.33,11704.25,1,426.85,1.4,1,1,0,0,corn
Envelope,2014,70,413.82,1.36,11693.82,0.86,430.34,1.41,0.86,0.97,67.5,0.22,corn
Envelope,2018,60,421.32,1.38,10859.26,0.79,436.27,1.43,0.8,0.87,110,0.36,corn
Envelope,2015,80,426.27,1.4,11920.81,0.89,441.12,1.45,0.89,0.98,55,0.18,corn
Envelope,2016,90,431.2,1.41,13231.99,0.95,451.16,1.48,0.95,1,25,0.08,corn
Envelope,2013,90,431.28,1.41,11998.09,0.95,443.85,1.46,0.95,1,25,0.08,corn
Envelope,2014,80,436.32,1.43,12045.24,0.91,452.84,1.49,0.91,1,45,0.15,corn
Envelope,2018,70,448.82,1.47,11763.33,0.84,463.77,1.52,0.85,0.94,82.5,0.27,corn
Envelope,2015,90,453.77,1.49,12113.1,0.94,468.62,1.54,0.94,1,27.5,0.09,corn
Envelope,2016,100,456.2,1.5,13241.38,1,476.16,1.56,1,1,0,0,corn
Envelope,2013,100,456.28,1.5,11998.09,1,468.85,1.54,1,1,0,0,corn
Envelope,2014,90,458.82,1.51,12050.34,0.95,475.34,1.56,0.95,1,22.5,0.07,corn
Envelope,2018,80,476.32,1.56,12301.93,0.9,491.27,1.61,0.9,0.99,55,0.18,corn
Envelope,2015,100,481.27,1.58,12166.71,1,496.12,1.63,1,1,0,0,corn
Envelope,2014,100,481.32,1.58,12050.34,1,497.84,1.63,1,1,0,0,corn
Envelope,2018,90,503.82,1.65,12437.94,0.95,518.77,1.7,0.95,1,27.5,0.09,corn
Envelope,2018,100,531.32,1.74,12461.91,1,546.27,1.79,1,1,0,0,corn
Continuous deficit all growing season (CDAS),2014,0,2.200000033,0.007217848,255.4040808,0.003947799,2.200000033,0.007217848,0.003947799,0.042056659,555.0726002,1.82110439,wheat
Continuous deficit all growing season (CDAS),2014,10,52.6,0.172572184,287.481595,0.094388276,52.6,0.172572184,0.094388276,0.047338771,504.6726002,1.655750054,wheat
Continuous deficit all growing season (CDAS),2014,20,106.45452,0.349260247,364.7358052,0.19102773,106.45452,0.349260247,0.19102773,0.060060001,450.8180802,1.47906199,wheat
Continuous deficit all growing season (CDAS),2014,30,159.6817801,0.523890371,707.7483023,0.286541596,159.6817801,0.523890371,0.286541596,0.116542887,397.5908201,1.304431866,wheat
Continuous deficit all growing season (CDAS),2014,40,212.90904,0.698520495,1179.993064,0.382055461,212.90904,0.698520495,0.382055461,0.194306081,344.3635602,1.129801743,wheat
Continuous deficit all growing season (CDAS),2014,50,266.1363001,0.873150619,1768.715369,0.477569326,266.1363001,0.873150619,0.477569326,0.291249298,291.1363001,0.955171619,wheat
Continuous deficit all growing season (CDAS),2014,60,334.3635602,1.096993343,2664.710205,0.6,334.3635602,1.096993343,0.6,0.438790203,222.90904,0.731328895,wheat
Continuous deficit all growing season (CDAS),2014,70,390.0908198,1.279825565,3421.861978,0.699999999,390.0908198,1.279825565,0.699999999,0.563468218,167.1817804,0.548496672,wheat
Continuous deficit all growing season (CDAS),2014,80,445.8180799,1.462657789,4351.05759,0.8,445.8180799,1.462657789,0.8,0.716476201,111.4545203,0.365664448,wheat
Continuous deficit all growing season (CDAS),2014,90,501.5453401,1.645490014,5636.225474,0.9,501.5453401,1.645490014,0.9,0.928101118,55.7272601,0.182832224,wheat
Continuous deficit all growing season (CDAS),2014,100,557.2726002,1.828322238,6072.857112,1,557.2726002,1.828322238,1,1,0,0,wheat
Continuous deficit all growing season (CDAS),2015,0,2.200000033,0.007217848,44.95554095,0.004131877,2.200000033,0.007217848,0.004131877,0.006878572,530.2456301,1.739651073,wheat
Continuous deficit all growing season (CDAS),2015,10,52.6,0.172572184,44.28409451,0.098789429,52.6,0.172572184,0.098789429,0.006775836,479.8456301,1.574296737,wheat
Continuous deficit all growing season (CDAS),2015,20,106.48913,0.349373797,45.2679762,0.200000007,106.48913,0.349373797,0.200000007,0.006926378,425.9565001,1.397495124,wheat
Continuous deficit all growing season (CDAS),2015,30,159.73369,0.524060679,181.6350616,0.300000002,159.73369,0.524060679,0.300000002,0.027791678,372.7119401,1.222808242,wheat
Continuous deficit all growing season (CDAS),2015,40,212.97825,0.698747562,698.7845175,0.399999996,212.97825,0.698747562,0.399999996,0.106919856,319.4673801,1.048121359,wheat
Continuous deficit all growing season (CDAS),2015,50,266.22281,0.873434444,1444.770857,0.499999991,266.22281,0.873434444,0.499999991,0.221061983,266.2228201,0.873434477,wheat
Continuous deficit all growing season (CDAS),2015,60,319.46738,1.048121359,2186.96777,0.600000004,319.46738,1.048121359,0.600000004,0.334624297,212.9782501,0.698747562,wheat
Continuous deficit all growing season (CDAS),2015,70,372.7119398,1.222808241,3225.136933,0.699999998,372.7119398,1.222808241,0.699999998,0.493472833,159.7336903,0.52406068,wheat
Continuous deficit all growing season (CDAS),2015,80,425.9565001,1.397495124,4401.534082,0.799999993,425.9565001,1.397495124,0.799999993,0.673471402,106.48913,0.349373797,wheat
Continuous deficit all growing season (CDAS),2015,90,479.2010598,1.572182005,6000.745618,0.899999986,479.2010598,1.572182005,0.899999986,0.918164096,53.2445703,0.174686916,wheat
Continuous deficit all growing season (CDAS),2015,100,532.4456301,1.746868921,6535.591667,1,532.4456301,1.746868921,1,1,0,0,wheat
Continuous deficit all growing season (CDAS),2016,0,1.800000027,0.005905512,110.1300439,0.004162373,1.800000027,0.005905512,0.004162373,0.016199497,430.6456301,1.412879409,wheat
Continuous deficit all growing season (CDAS),2016,10,42.6,0.139763784,109.65121,0.098509494,42.6,0.139763784,0.098509494,0.016129063,389.8456301,1.279021137,wheat
Continuous deficit all growing season (CDAS),2016,20,86.48913002,0.283756997,155.7111221,0.200000009,86.48913002,0.283756997,0.200000009,0.022904212,345.9565001,1.135027924,wheat
Continuous deficit all growing season (CDAS),2016,30,129.73369,0.425635479,407.579596,0.300000002,129.73369,0.425635479,0.300000002,0.059952617,302.7119401,0.993149442,wheat
Continuous deficit all growing season (CDAS),2016,40,172.97825,0.567513962,1097.692002,0.399999995,172.97825,0.567513962,0.399999995,0.161464187,259.4673801,0.851270959,wheat
Continuous deficit all growing season (CDAS),2016,50,216.22281,0.709392444,1910.891735,0.499999988,216.22281,0.709392444,0.499999988,0.281081196,216.2228201,0.709392477,wheat
Continuous deficit all growing season (CDAS),2016,60,259.46738,0.851270959,2798.565763,0.600000004,259.46738,0.851270959,0.600000004,0.411652946,172.9782501,0.567513962,wheat
Continuous deficit all growing season (CDAS),2016,70,302.7119398,0.993149441,3970.287569,0.699999997,302.7119398,0.993149441,0.699999997,0.584006492,129.7336903,0.42563548,wheat
Continuous deficit all growing season (CDAS),2016,80,345.9565001,1.135027924,5497.4921,0.799999991,345.9565001,1.135027924,0.799999991,0.808649505,86.48913,0.283756997,wheat
Continuous deficit all growing season (CDAS),2016,90,389.2010598,1.276906405,6599.210536,0.899999983,389.2010598,1.276906405,0.899999983,0.970705958,43.2445703,0.141878516,wheat
Continuous deficit all growing season (CDAS),2016,100,432.4456301,1.418784921,6798.36204,1,432.4456301,1.418784921,1,1,0,0,wheat
Continuous deficit all growing season (CDAS),2017,0,1.900000028,0.006233596,28.12170033,0.004154016,1.900000028,0.006233596,0.004154016,0.004765128,455.48873,1.494385645,wheat
Continuous deficit all growing season (CDAS),2017,10,45.1,0.147965884,32.73121439,0.098603217,45.1,0.147965884,0.098603217,0.005546195,412.28873,1.352653357,wheat
Continuous deficit all growing season (CDAS),2017,20,91.47774994,0.300123861,237.350369,0.200000009,91.47774994,0.300123861,0.200000009,0.040218228,365.9109801,1.20049538,wheat
Continuous deficit all growing season (CDAS),2017,30,137.21662,0.450185776,847.1084496,0.300000002,137.21662,0.450185776,0.300000002,0.1435397,320.17211,1.050433465,wheat
Continuous deficit all growing season (CDAS),2017,40,182.9554901,0.60024769,1343.719307,0.399999996,182.9554901,0.60024769,0.399999996,0.227688753,274.4332399,0.900371551,wheat
Continuous deficit all growing season (CDAS),2017,50,228.69437,0.750309637,1941.454579,0.500000011,228.69437,0.750309637,0.500000011,0.328973,228.69436,0.750309604,wheat
Continuous deficit all growing season (CDAS),2017,60,274.4332399,0.900371551,2870.140851,0.600000004,274.4332399,0.900371551,0.600000004,0.48633579,182.9554901,0.60024769,wheat
Continuous deficit all growing season (CDAS),2017,70,320.1721101,1.050433466,3880.127018,0.699999998,320.1721101,1.050433466,0.699999998,0.657474576,137.2166199,0.450185775,wheat
Continuous deficit all growing season (CDAS),2017,80,365.9109902,1.200495413,4692.725899,0.800000014,365.9109902,1.200495413,0.800000014,0.795166745,91.4777398,0.300123828,wheat
Continuous deficit all growing season (CDAS),2017,90,411.6498599,1.350557326,5522.654248,0.900000006,411.6498599,1.350557326,0.900000006,0.935795334,45.7388701,0.150061915,wheat
Continuous deficit all growing season (CDAS),2017,100,457.38873,1.500619241,5901.562068,1,457.38873,1.500619241,1,1,0,0,wheat
Continuous deficit all growing season (CDAS),2018,0,1.900000028,0.006233596,300.2639836,0.004153499,1.900000028,0.006233596,0.004153499,0.044997157,455.5456301,1.494572325,wheat
Continuous deficit all growing season (CDAS),2018,10,45.1,0.147965884,317.4752051,0.098590952,45.1,0.147965884,0.098590952,0.047576407,412.3456301,1.352840037,wheat
Continuous deficit all growing season (CDAS),2018,20,91.48913002,0.300161197,356.3954977,0.200000009,91.48913002,0.300161197,0.200000009,0.05340895,365.9565001,1.200644724,wheat
Continuous deficit all growing season (CDAS),2018,30,137.23369,0.450241779,1008.404477,0.300000002,137.23369,0.450241779,0.300000002,0.151118138,320.2119401,1.050564142,wheat
Continuous deficit all growing season (CDAS),2018,40,182.97825,0.600322362,1810.825311,0.399999996,182.97825,0.600322362,0.399999996,0.271367845,274.4673801,0.900483559,wheat
Continuous deficit all growing season (CDAS),2018,50,228.72281,0.750402944,2464.463842,0.499999989,228.72281,0.750402944,0.499999989,0.369321236,228.7228201,0.750402977,wheat
Continuous deficit all growing season (CDAS),2018,60,274.46738,0.900483559,3287.156975,0.600000004,274.46738,0.900483559,0.600000004,0.492608922,182.9782501,0.600322362,wheat
Continuous deficit all growing season (CDAS),2018,70,320.2119398,1.050564141,4221.493426,0.699999997,320.2119398,1.050564141,0.699999997,0.632627326,137.2336903,0.45024178,wheat
Continuous deficit all growing season (CDAS),2018,80,365.9565001,1.200644724,5183.840711,0.799999991,365.9565001,1.200644724,0.799999991,0.776843395,91.48913,0.300161197,wheat
Continuous deficit all growing season (CDAS),2018,90,411.7010598,1.350725305,6390.45941,0.899999984,411.7010598,1.350725305,0.899999984,0.95766565,45.7445703,0.150080616,wheat
Continuous deficit all growing season (CDAS),2018,100,457.4456301,1.500805921,6672.954606,1,457.4456301,1.500805921,1,1,0,0,wheat
Continuous deficit except during flowering (CDEF),2014,0,52.00000003,0.17060368,1030.275373,0.093311604,52.00000003,0.17060368,0.093311604,0.169652497,505.2726002,1.657718558,wheat
Continuous deficit except during flowering (CDEF),2014,10,97.6,0.320209984,1058.040167,0.175138702,97.6,0.320209984,0.175138702,0.174224446,459.6726002,1.508112254,wheat
Continuous deficit except during flowering (CDEF),2014,20,146.45452,0.480493847,1139.151053,0.262805887,146.45452,0.480493847,0.262805887,0.187580744,410.8180802,1.34782839,wheat
Continuous deficit except during flowering (CDEF),2014,30,194.6817801,0.638719771,1481.698748,0.349347483,194.6817801,0.638719771,0.349347483,0.243987092,362.5908201,1.189602466,wheat
Continuous deficit except during flowering (CDEF),2014,40,242.90904,0.796945695,1925.163617,0.435889078,242.90904,0.796945695,0.435889078,0.317011183,314.3635602,1.031376543,wheat
