"Maxprof_w","pc","pw","TotRevDeficitAndLease","TotRevAllFallow","TotRevAllCrop","Bestalternative","AddlRevFromDL","optimalirrigation","optimallease","production","production_lost","crop","optimalleasepercentage","productionlostepercentage"
466,0.1,0.58,1256.3712784,1058.27,1251.078207325,1251.078207325,5.29307107499949,466,18.5,12456.412784,54.3692892500039,"corn",3.81836945304438,0.434579460593866
465.5,0.1,0.59,1256.556765175,1063.115,1251.078207325,1251.078207325,5.47855784999933,465.5,19,12453.46765175,57.3144215000066,"corn",3.92156862745098,0.458120213144418
465.5,0.1,0.6,1256.746765175,1067.96,1251.078207325,1251.078207325,5.66855784999939,465.5,19,12453.46765175,57.3144215000066,"corn",3.92156862745098,0.458120213144418
465,0.1,0.61,1256.939725,1072.805,1251.078207325,1251.078207325,5.86151767499996,465,19.5,12450.44725,60.3348232499993,"corn",4.02476780185759,0.482262602743313
464.5,0.1,0.62,1257.135176325,1077.65,1251.078207325,1251.078207325,6.05696899999998,464.5,20,12447.35176325,63.4303099999997,"corn",4.12796697626419,0.507005154662742
464.5,0.1,0.63,1257.335176325,1082.495,1251.078207325,1251.078207325,6.2569689999998,464.5,20,12447.35176325,63.4303099999997,"corn",4.12796697626419,0.507005154662742
464,0.1,0.64,1257.5381376,1087.34,1251.078207325,1251.078207325,6.45993027499935,464,20.5,12444.181376,66.6006972500036,"corn",4.23116615067079,0.53234639417472
463.5,0.1,0.65,1257.743627275,1092.185,1251.078207325,1251.078207325,6.66541994999966,463.5,21,12440.93627275,69.845800500003,"corn",4.3343653250774,0.558284846551233
463.5,0.1,0.66,1257.953627275,1097.03,1251.078207325,1251.078207325,6.87541994999947,463.5,21,12440.93627275,69.845800500003,"corn",4.3343653250774,0.558284846551233
463,0.1,0.67,1258.1666638,1101.875,1251.078207325,1251.078207325,7.0884564749997,463,21.5,12437.616638,73.1654352500009,"corn",4.437564499484,0.584819037064357
462.5,0.1,0.68,1258.382265625,1106.72,1251.078207325,1251.078207325,7.30405829999995,462.5,22,12434.22265625,76.5594170000004,"corn",4.54076367389061,0.611947490986166
462.5,0.1,0.69,1258.602265625,1111.565,1251.078207325,1251.078207325,7.52405829999998,462.5,22,12434.22265625,76.5594170000004,"corn",4.54076367389061,0.611947490986166
462,0.1,0.7,1258.8254512,1116.41,1251.078207325,1251.078207325,7.74724387500009,462,22.5,12430.754512,80.0275612499972,"corn",4.64396284829721,0.639668733588675
461.5,0.1,0.71,1259.051238975,1121.255,1251.078207325,1251.078207325,7.97303164999903,461.5,23,12427.21238975,83.569683500009,"corn",4.74716202270382,0.667981290144075
461.5,0.1,0.72,1259.281238975,1126.1,1251.078207325,1251.078207325,8.20303164999905,461.5,23,12427.21238975,83.569683500009,"corn",4.74716202270382,0.667981290144075
461,0.1,0.73,1259.5146474,1130.945,1251.078207325,1251.078207325,8.43644007499938,461,23.5,12423.596474,87.1855992500059,"corn",4.85036119711042,0.696883685924178
460.5,0.1,0.74,1259.750694925,1135.79,1251.078207325,1251.078207325,8.67248759999961,460.5,24,12419.90694925,90.875124000002,"corn",4.95356037151703,0.726374446201146
460.5,0.1,0.75,1259.990694925,1140.635,1251.078207325,1251.078207325,8.91248759999962,460.5,24,12419.90694925,90.875124000002,"corn",4.95356037151703,0.726374446201146
460,0.1,0.76,1260.2344,1145.48,1251.078207325,1251.078207325,9.15619267499983,460,24.5,12416.144,94.6380732500002,"corn",5.05675954592363,0.756452096247053
459.5,0.1,0.77,1260.480781075,1150.325,1251.078207325,1251.078207325,9.40257375000033,459.5,25,12412.30781075,98.4742624999963,"corn",5.15995872033024,0.787115161333915
459.5,0.1,0.78,1260.730781075,1155.17,1251.078207325,1251.078207325,9.65257375000033,459.5,25,12412.30781075,98.4742624999963,"corn",5.15995872033024,0.787115161333915
459,0.1,0.79,1260.9848566,1160.015,1251.078207325,1251.078207325,9.90664927500052,459,25.5,12408.398566,102.383507249993,"corn",5.26315789473684,0.818362166733804
458.5,0.1,0.8,1261.241645025,1164.86,1251.078207325,1251.078207325,10.1634376999989,458.5,26,12404.41645025,106.365623000009,"corn",5.36635706914345,0.850191637718918
